open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2025-02-01 00:00:00,3300.99,3301.0,3288.35,3293.18,1209.1715,2025-02-01 00:04:59.999,3984697.514288,14245,603.269,1987808.364515,0
2025-02-01 00:05:00,3293.18,3305.29,3291.35,3303.88,914.2725,2025-02-01 00:09:59.999,3016588.60384,11861,603.9433,1992551.891128,0
2025-02-01 00:10:00,3303.88,3306.05,3299.12,3304.77,1530.2958,2025-02-01 00:14:59.999,5052884.73819,12545,761.8358,2515508.305098,0
2025-02-01 00:15:00,3304.77,3312.65,3301.17,3305.57,3579.8589,2025-02-01 00:19:59.999,11844371.094503,16747,2041.561,6754341.47423,0
2025-02-01 00:20:00,3305.56,3309.49,3302.17,3302.17,1189.7541,2025-02-01 00:24:59.999,3933098.73899,10281,827.7848,2736502.144026,0
2025-02-01 00:25:00,3302.17,3303.04,3295.0,3295.01,939.7189,2025-02-01 00:29:59.999,3099289.233433,8361,432.9793,1427927.313206,0
2025-02-01 00:30:00,3295.01,3305.78,3291.13,3304.4,1474.5142,2025-02-01 00:34:59.999,4862943.114126,12068,756.6411,2496423.706218,0
2025-02-01 00:35:00,3304.39,3310.0,3303.24,3309.65,497.7989,2025-02-01 00:39:59.999,1646702.196236,7883,256.6493,848794.611421,0
2025-02-01 00:40:00,3309.65,3313.67,3308.79,3312.0,1299.4377,2025-02-01 00:44:59.999,4302166.669057,10881,951.3687,3149708.131248,0
2025-02-01 00:45:00,3312.0,3315.35,3310.45,3312.0,700.6717,2025-02-01 00:49:59.999,2321490.819355,8210,443.8892,1470735.482597,0
2025-02-01 00:50:00,3312.0,3314.34,3307.18,3313.31,833.4513,2025-02-01 00:54:59.999,2758981.164105,10419,367.2645,1215888.06485,0
2025-02-01 00:55:00,3313.31,3321.11,3313.3,3317.0,1156.9428,2025-02-01 00:59:59.999,3838568.714679,10012,778.2482,2581840.693101,0
2025-02-01 01:00:00,3317.0,3324.37,3316.63,3324.37,1060.5224,2025-02-01 01:04:59.999,3523261.641731,11894,627.8578,2085821.528333,0
2025-02-01 01:05:00,3324.36,3331.98,3321.8,3322.71,1667.354,2025-02-01 01:09:59.999,5545400.697492,15968,986.3332,3280519.787167,0
2025-02-01 01:10:00,3322.7,3324.0,3318.5,3322.85,947.5379,2025-02-01 01:14:59.999,3147374.064695,7354,634.4717,2107676.177685,0
2025-02-01 01:15:00,3322.85,3324.0,3316.87,3317.48,621.2365,2025-02-01 01:19:59.999,2062407.060013,4750,290.3092,963848.035864,0
2025-02-01 01:20:00,3317.48,3323.5,3315.47,3322.0,1011.9582,2025-02-01 01:24:59.999,3359007.336751,6836,723.8365,2402704.35688,0
2025-02-01 01:25:00,3322.01,3326.14,3321.7,3323.51,581.321,2025-02-01 01:29:59.999,1932428.645108,6227,331.4586,1101727.004139,0
2025-02-01 01:30:00,3323.52,3327.13,3318.81,3326.25,693.2628,2025-02-01 01:34:59.999,2303812.410494,7157,412.9166,1372389.05855,0
2025-02-01 01:35:00,3326.25,3331.32,3325.52,3326.88,694.7416,2025-02-01 01:39:59.999,2312593.852626,7736,485.0834,1614725.746891,0
2025-02-01 01:40:00,3326.88,3328.2,3323.91,3328.19,469.4611,2025-02-01 01:44:59.999,1561642.663314,5876,274.5439,913221.029372,0
2025-02-01 01:45:00,3328.2,3329.0,3316.63,3317.07,1579.9766,2025-02-01 01:49:59.999,5247548.852133,10581,620.5114,2061163.303466,0
2025-02-01 01:50:00,3317.07,3321.0,3316.26,3318.56,269.123,2025-02-01 01:54:59.999,893140.652187,4460,145.862,484017.894967,0
2025-02-01 01:55:00,3318.55,3319.4,3312.7,3313.11,816.2926,2025-02-01 01:59:59.999,2705448.175741,6484,455.2237,1508562.51462,0
2025-02-01 02:00:00,3313.12,3318.22,3309.1,3316.0,826.3643,2025-02-01 02:04:59.999,2737521.641428,10369,415.5471,1376669.607783,0
2025-02-01 02:05:00,3315.99,3319.5,3311.73,3317.49,574.0704,2025-02-01 02:09:59.999,1903944.679557,7941,360.8947,1196941.585261,0
2025-02-01 02:10:00,3317.49,3318.7,3315.0,3317.31,410.135,2025-02-01 02:14:59.999,1360292.477095,6293,219.1475,726834.039684,0
2025-02-01 02:15:00,3317.31,3325.53,3317.3,3320.07,471.701,2025-02-01 02:19:59.999,1566958.961464,8825,331.8468,1102311.808026,0
2025-02-01 02:20:00,3320.08,3322.51,3318.0,3318.5,518.7227,2025-02-01 02:24:59.999,1722119.277419,6172,379.9718,1261514.064423,0
2025-02-01 02:25:00,3318.49,3318.49,3315.2,3316.04,349.4377,2025-02-01 02:29:59.999,1158900.878575,4191,206.1127,683530.95452,0
2025-02-01 02:30:00,3316.04,3317.49,3309.72,3314.13,514.8792,2025-02-01 02:34:59.999,1705633.833242,6256,272.7978,903661.681113,0
2025-02-01 02:35:00,3314.14,3317.8,3313.25,3317.21,343.0072,2025-02-01 02:39:59.999,1137093.566421,6862,155.5039,515530.429024,0
2025-02-01 02:40:00,3317.22,3320.87,3316.48,3318.0,444.8753,2025-02-01 02:44:59.999,1476460.618802,5712,270.6869,898365.693581,0
2025-02-01 02:45:00,3318.0,3320.51,3316.49,3318.01,604.739,2025-02-01 02:49:59.999,2006413.6865,5341,504.5803,1674071.892395,0
