iteration,timestamp,sigma_pred,local_scale,mean_abs_return,param_mu,param_omega,param_alpha[1],param_gamma[1],param_beta[1],param_nu
50,2025-02-01 04:10:00,0.001711711929805123,1.4052260245861503,1.0200968362239253,0.05409973528370479,0.012939775950057355,0.22593176777736412,-0.0023777953820955625,0.9622363426821102,5.0472949857248866
100,2025-02-01 08:20:00,0.0016745274927280522,1.3242157667542858,0.9359900155398965,0.030165392756241378,0.016558104201232635,0.23858551748296802,0.0071664591710366415,0.9643196753951588,5.03785137965714
150,2025-02-01 12:30:00,0.001647070721422778,1.2340533387943198,0.8735471856764137,0.023659365385480986,0.017392065526893423,0.2530066981037625,-0.024665271462008167,0.9600276939771931,5.379024211092506
200,2025-02-01 16:40:00,0.0016804900492198602,1.2107432027077785,0.8523132779698489,0.020019846167143265,0.01558286568200732,0.25048320611026526,-0.03596632171847259,0.959574809188746,5.513490041646054
250,2025-02-01 20:50:00,0.0017982509339369622,1.2159134619499379,0.8649758985176113,-0.022112891235775253,0.004863084117458707,0.20404401957967008,-0.06396420792495897,0.9497724628528521,6.462250651908123
300,2025-02-02 01:00:00,0.0018266279838434415,1.1881665735184292,0.8658853749741331,-0.036122060055891574,0.0032802833454507953,0.15765346511064154,-0.055188131265337594,0.9676407534364602,6.677208506093155
350,2025-02-02 05:10:00,0.0018371779940239412,1.1475458057485097,0.8513326958740328,-0.0554506303258771,0.00397145701493451,0.15410925246053145,-0.11240267408100615,0.9458466231796656,7.123995698590576
400,2025-02-02 09:20:00,0.0018453526520983406,1.0301350989160025,0.8007333430588449,-0.07511240402935249,0.005067412063937114,0.08728082489970507,-0.10421264584902523,0.9691675318173067,7.560279191410893
450,2025-02-02 13:30:00,0.001824219649697991,1.0629743930317541,0.833709468009155,-0.10427256711403056,-0.0011320535321308397,0.06537113613094306,-0.14575415046892878,0.9655257803448796,20.850662351580656
500,2025-02-02 17:40:00,0.001977522103337077,1.1563186700328518,0.9124495820695405,-0.09487968426285824,-0.007164617861820066,0.09674647430107476,-0.1687507843039325,0.9515902384671462,31.116031902808
550,2025-02-02 21:50:00,0.0021078708769501605,1.3225806248647862,1.0305648645723136,-0.09087105643421671,-0.011682948897873538,0.08372672546219016,-0.14994377634326012,0.9702174701111731,39.28617605442161
600,2025-02-03 02:00:00,0.003229918772180651,2.464894601201525,1.427877235393949,-0.0513357624047,-0.005828059726158649,0.08696834137067815,-0.12187354026363559,0.9936746599660771,139.99398005868517
650,2025-02-03 06:10:00,0.0033589459482160997,3.530538826308852,1.8167431847814135,-0.03857618247280874,-0.0296798975644048,0.09076525486431067,-0.15833811832308084,0.9836546385753903,139.98035360889745
700,2025-02-03 10:20:00,0.0033933798424873964,3.628215002792483,1.94516951395046,-0.030166400625971857,-0.01768669805790109,0.18795407370963843,-0.09516505771891129,0.9877190099001849,13.777369815869168
750,2025-02-03 14:30:00,0.003663555441060093,3.7756904589199793,2.092768364344937,-0.03537889922830503,-0.011247253512025655,0.18347078490230273,-0.10025277784034936,0.9873651384052528,9.185731010205735
800,2025-02-03 18:40:00,0.0036000103642164953,3.905908580672735,2.2710752664300644,-0.03541453064768041,-0.01187240730247547,0.20780112731666472,-0.09307647281814962,0.986710636106355,8.750990294062797
850,2025-02-03 22:50:00,0.0039046492246816705,4.033279731592734,2.45303759160162,-0.0104583256346826,-0.014305403045378676,0.3,-0.05060644552188693,0.9783281710699698,7.359220597260821
900,2025-02-04 03:00:00,0.0038615396128041787,4.032309507398032,2.4627508528271553,-0.01652145565280209,-0.02270385096967762,0.3,-0.05061574972274464,0.970705535530372,6.82798397231095
950,2025-02-04 07:10:00,0.003847908208423044,4.086434210116914,2.503750188576798,-0.010571493488285691,-0.02659153113919255,0.3,-0.047537616905493185,0.9648478713490106,6.780020191087641
1000,2025-02-04 11:20:00,0.003859164767993469,3.553353944192622,2.2089642621666754,-0.013924339470192688,-0.01668679558344297,0.3,-0.05110424630499657,0.9570551959708182,6.608216341140217
1050,2025-02-04 15:30:00,0.004033526104255536,2.6072978663165456,1.9224984057670966,-0.01585107652159841,0.013212568311323055,0.3,-0.05654900869734977,0.9485881582556865,6.9344907057831575
1100,2025-02-04 19:40:00,0.004048548923262498,2.5714717439031856,1.8829194165347571,0.0007053041972379609,0.019722431958118295,0.3,-0.04621582487340066,0.9241642286188826,6.718722786334319
1150,2025-02-04 23:50:00,0.004052998356346136,2.5280754749176237,1.9024869802438038,0.016459878031613553,0.024836464453505607,0.3,-0.03709886296875721,0.91845890757765,7.220702265859423
1200,2025-02-05 04:00:00,0.003967373342794486,2.385734429005467,1.7903927382671492,0.028245902511084112,0.011784592542658288,0.2701326486208731,0.01087519427462717,0.9143092269601671,8.289622847616997
1250,2025-02-05 08:10:00,0.0038730633518734643,2.218460321452165,1.6452944197494503,0.026362841034520718,0.020145650318699235,0.3,0.016071276365568956,0.9034124917752075,7.099590115533995
1300,2025-02-05 12:20:00,0.0037905572084853344,2.220921462888612,1.6318466181315687,0.015157202601796569,0.015698764609083413,0.3,-0.0026565840523265685,0.9125323519400417,6.2434437007238355
1350,2025-02-05 16:30:00,0.0037759938948059325,2.066700543890859,1.5432091066682039,0.008717845309433406,0.017030688071715157,0.3,0.0009791573699248438,0.9019629449281518,6.918099789557405
1400,2025-02-05 20:40:00,0.003792169208555801,2.027291334627502,1.5158340915506188,0.001796216150304379,0.0188815074193864,0.3,-0.017217337258884146,0.8808091488356894,6.395053334190278
