open_time,open,high,low,close,volume,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote
2024-01-01 00:00:00,2281.87,2287.84,2281.27,2287.84,910.5701,2080313.109769,2593,585.7254,1338368.546972
2024-01-01 00:05:00,2287.83,2291.83,2287.06,2290.77,1652.929,3785227.337856,3354,1058.4951,2423909.792515
2024-01-01 00:10:00,2290.77,2296.97,2290.76,2296.71,1829.5259,4197681.907837,3321,1033.8721,2372037.71891
2024-01-01 00:15:00,2296.71,2297.0,2292.36,2292.36,890.8524,2044781.100389,2332,249.9496,573701.511714
2024-01-01 00:20:00,2292.37,2295.87,2292.3,2294.67,763.7046,1751663.026552,2029,525.52,1205273.53541
2024-01-01 00:25:00,2294.68,2295.91,2289.0,2291.05,1035.9491,2373491.988573,2332,356.0413,815686.126199
2024-01-01 00:30:00,2291.05,2291.06,2288.55,2289.78,1023.4098,2342736.638782,2092,606.3325,1387832.728787
2024-01-01 00:35:00,2289.78,2293.96,2289.2,2293.95,605.1922,1386605.323874,1788,404.8329,927631.271501
2024-01-01 00:40:00,2293.95,2294.78,2290.93,2293.22,573.3427,1314337.555147,1520,242.3394,555543.707163
2024-01-01 00:45:00,2293.23,2293.68,2292.24,2292.24,393.7231,902810.436017,990,124.6414,285795.900012
2024-01-01 00:50:00,2292.24,2295.17,2292.24,2295.16,482.6335,1107022.271604,1177,386.9883,887660.208904
2024-01-01 00:55:00,2295.17,2297.18,2294.93,2295.51,610.0859,1400898.372414,1339,266.8526,612703.383842
2024-01-01 01:00:00,2295.52,2295.52,2292.9,2293.72,592.2942,1358776.250971,1519,326.0578,748005.144142
2024-01-01 01:05:00,2293.71,2294.83,2293.48,2294.48,267.8448,614510.409237,921,163.7537,375678.418592
2024-01-01 01:10:00,2294.47,2297.4,2293.74,2296.59,552.0663,1267187.133572,1508,285.4299,655125.750233
2024-01-01 01:15:00,2296.59,2299.13,2296.59,2298.67,736.8683,1693491.260086,1757,517.2331,1188665.643906
2024-01-01 01:20:00,2298.67,2299.2,2297.68,2297.74,374.2489,860190.256641,1091,117.4353,269870.214239
2024-01-01 01:25:00,2297.75,2300.32,2297.74,2299.11,557.956,1282957.051615,1803,376.6474,866076.990577
2024-01-01 01:30:00,2299.12,2302.0,2299.11,2300.69,702.0939,1615550.549522,1787,455.6173,1048346.188623
2024-01-01 01:35:00,2300.68,2306.45,2300.68,2304.19,1921.8619,4428205.445477,3928,1254.4806,2890206.24853
2024-01-01 01:40:00,2304.19,2304.7,2302.29,2303.27,583.2079,1343339.461571,1633,288.9641,665527.603281
2024-01-01 01:45:00,2303.26,2306.6,2303.26,2305.48,726.3183,1674410.055764,1858,527.1741,1215254.149295
2024-01-01 01:50:00,2305.49,2305.63,2304.96,2304.97,951.5531,2193440.250983,1275,294.3572,678522.801892
2024-01-01 01:55:00,2304.97,2304.97,2303.52,2303.72,447.1124,1030216.305528,1219,177.6646,409319.360123
2024-01-01 02:00:00,2303.72,2304.72,2297.82,2298.23,725.4135,1669325.314917,2009,242.7487,558635.396657
2024-01-01 02:05:00,2298.23,2299.6,2298.09,2298.29,486.707,1118869.954171,1513,273.0002,627566.468785
2024-01-01 02:10:00,2298.29,2299.4,2298.06,2299.02,611.6212,1405985.857438,1228,341.9725,786125.730808
2024-01-01 02:15:00,2299.02,2299.02,2295.58,2297.29,602.416,1383871.675817,1520,198.1006,455027.614952
2024-01-01 02:20:00,2297.3,2298.7,2296.36,2296.36,401.4586,922507.145832,1343,202.6997,465747.558149
2024-01-01 02:25:00,2296.37,2296.82,2296.34,2296.74,159.1258,365456.52827,738,66.5212,152770.185375
2024-01-01 02:30:00,2296.73,2298.12,2296.27,2298.11,424.351,974909.240215,1201,262.9178,604027.52975
2024-01-01 02:35:00,2298.11,2299.46,2297.13,2298.12,682.8955,1569665.547539,1372,273.1572,627823.924695
2024-01-01 02:40:00,2298.13,2298.13,2294.54,2294.54,296.3998,680348.169075,1092,100.0599,229640.580537
2024-01-01 02:45:00,2294.55,2295.21,2291.64,2291.7,592.2244,1358590.197635,1537,213.3621,489548.242026
2024-01-01 02:50:00,2291.7,2295.33,2291.2,2294.51,541.7608,1242763.630618,1604,345.3841,792269.181426
2024-01-01 02:55:00,2294.5,2294.51,2293.01,2293.02,283.8797,651122.772232,968,161.2058,369716.297467
2024-01-01 03:00:00,2293.03,2294.27,2292.24,2292.44,446.954,1024899.544484,1277,197.5338,452914.621733
2024-01-01 03:05:00,2292.45,2294.5,2290.64,2290.64,810.347,1857672.684175,1698,290.3466,665780.090019
2024-01-01 03:10:00,2290.65,2291.53,2289.0,2289.04,1257.9105,2880681.954269,1617,166.2967,380835.919448
2024-01-01 03:15:00,2289.04,2289.05,2284.64,2285.06,804.3147,1838645.219611,2371,370.7958,847632.116007
2024-01-01 03:20:00,2285.05,2286.63,2282.55,2282.95,825.617,1885989.958313,2080,290.3505,663349.26226
2024-01-01 03:25:00,2282.95,2283.94,2281.0,2282.37,623.0457,1421869.054449,1746,357.4633,815744.683915
2024-01-01 03:30:00,2282.37,2283.8,2280.36,2280.85,652.4886,1488927.668188,1658,226.6102,517186.570535
2024-01-01 03:35:00,2280.85,2283.54,2280.2,2280.21,856.0588,1953162.575502,1760,481.5332,1098552.515438
2024-01-01 03:40:00,2280.2,2280.21,2273.24,2276.29,1776.342,4044110.460657,4161,618.0631,1406797.07187
2024-01-01 03:45:00,2276.29,2277.58,2271.0,2277.46,1286.1119,2924600.582231,3371,679.358,1544827.538219
2024-01-01 03:50:00,2277.46,2277.56,2271.63,2272.9,692.7008,1575633.589615,2071,376.7593,856949.549291
2024-01-01 03:55:00,2272.9,2276.33,2271.75,2273.81,713.845,1623426.054861,2063,458.4214,1042391.159264
2024-01-01 04:00:00,2273.8,2277.69,2272.2,2277.49,774.6027,1762731.61215,2089,401.5954,913987.019652
2024-01-01 04:05:00,2277.48,2278.8,2277.48,2277.5,434.6587,990216.489926,1405,206.3513,470091.326259
2024-01-01 04:10:00,2277.49,2277.95,2271.77,2274.08,1121.1768,2549954.750733,2674,483.0856,1098547.269877
2024-01-01 04:15:00,2274.09,2274.53,2270.0,2270.13,845.0863,1919648.225375,2845,282.651,642116.269232
2024-01-01 04:20:00,2270.13,2273.48,2265.24,2272.88,1676.9815,3805111.271103,4374,703.9822,1597459.646657
2024-01-01 04:25:00,2272.88,2272.88,2270.38,2271.62,808.2576,1835547.981685,1663,285.4165,648141.005669
2024-01-01 04:30:00,2271.62,2274.5,2271.34,2274.24,571.519,1298852.708116,1781,355.7481,808457.278868
2024-01-01 04:35:00,2274.23,2275.39,2273.6,2275.0,561.9729,1278280.409063,1543,267.9367,609411.075573
